movie_id,movie_title,director(s),top_5_cast
1241634,Saiyaara,Mohit Suri,"Ahaan Panday (Krish Kapoor)
Aneet Padda (Vaani Batra)
Alam Khan (KV)
Geeta Agrawal Sharma (Vaani's Mother)
Rajesh Kumar (Vaani's Father)"
1246369,Muromachi Burai,Yu Irie,"Yo Oizumi
Kento Nagao
Wakana Matsumoto
Yuya Endo
Tomoya Maeno"
1087891,The Amateur,James Hawes,"Rami Malek (Heller)
Rami Malek (Heller)
Holt McCallany (Director Moore)
Holt McCallany (Director Moore)
Danny Sapani (Caleb)"
950387,A Minecraft Movie,Jared Hess,"Jason Momoa (Garrett)
Jack Black (Steve)
Sebastian Eugene Hansen (Henry)
Emma Myers (Natalie)
Danielle Brooks (Dawn)"
1236197,Follow,Gonzalo Tobal,"Diego Boneta (Sebastián)
Martha Higareda (Carolina)
Alejandro Speitzer (Maclo)
Ofelia Medina
Alberto Guerra"
1010581,My Fault,Domingo González,"Nicole Wallace (Noah Morgan)
Gabriel Guevara (Nick Leister)
Marta Hazas (Rafaela)
Iván Sánchez (William Leister)
Eva Ruiz (Jenna)"
1403735,Laila,Ram Narayan,"Vishwak Sen (Sonu Model / Laila)
Akanksha Sharma (Jenny)
Babloo Prithiveeraj (Shankar ""Shanku"")
Abhimanyu Singh (Rusthom)
Vineet Kumar (Khaidi)"
11845,Intimacy,Patrice Chéreau,"Mark Rylance (Jay)
Kerry Fox (Claire)
Susannah Harker (Susan, Jay's wife)
Alastair Galbraith (Victor)
Philippe Calvario (Ian)"
1278950,The Ritual,David Midell,"Dan Stevens (Father Joseph Steiger)
Abigail Cowen (Emma Schmidt)
Al Pacino (Father Theophilus Riesinger)
Patricia Heaton (Mother Superior)
Ashley Greene (Sister Rose)"
1100998,SuperKlaus,Steve Majaury,"Harland Williams (Santa Claus / SuperKlaus (voice))
Colm Feore (Frank Fafnir (voice))
Millie Davis (Billie (voice))
Paul Van Dyck (Leo (voice))
Lucinda Davis (Billie's Mother (voice))"
605722,Long Distance,"Will Speck, Josh Gordon","Anthony Ramos (Andy Ramirez)
Naomi Scott (Naomi Calloway)
Kristofer Hivju (Dwayne)
Zachary Quinto (L.E.O.N.A.R.D. (voice))
Izzy Jones (Mia Ramirez)"
1233413,Sinners,Ryan Coogler,"Michael B. Jordan (Smoke / Stack)
Hailee Steinfeld (Mary)
Miles Caton (Sammie Moore)
Jack O'Connell (Remmick)
Wunmi Mosaku (Annie)"
1083433,I Know What You Did Last Summer,Jennifer Kaytin Robinson,"Madelyn Cline (Danica Richards)
Chase Sui Wonders (Ava Brucks)
Jonah Hauer-King (Milo Griffin)
Tyriq Withers (Teddy Spencer)
Sarah Pidgeon (Stevie Ward)"
